station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set1,POT,Exp_Set1_98_96,96,2,Small pots
Exp_Set1,POT,Exp_Set1_98_97,97,0,Small pots
Exp_Set1,POT,Exp_Set1_98_98,98,0,Small pots
Exp_Set1,POT,Exp_Set1_98_99,99,1,Small pots
Exp_Set2,HAL,Exp_Set2_105_1,1,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_10,10,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_11,11,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_12,12,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_13,13,15,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_14,14,10,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_15,15,21,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_16,16,14,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_17,17,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_18,18,11,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_19,19,21,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_2,2,3,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_20,20,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_21,21,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_22,22,24,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_23,23,9,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_24,24,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_25,25,8,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_26,26,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_27,27,20,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_28,28,15,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_29,29,1,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_3,3,12,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_30,30,9,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_31,31,8,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_32,32,11,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_33,33,9,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_34,34,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_35,35,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_36,36,3,Hook-and-line
